iter	Passed	Remaining
0	1	177
1	3	152
2	4	146
3	5	143
4	7	140
5	8	136
6	9	132
7	11	130
8	12	129
9	14	128
10	15	127
11	16	124
12	18	122
13	19	120
14	20	118
15	22	117
16	23	116
17	25	114
18	26	113
19	28	112
20	29	110
21	30	109
22	32	108
23	33	107
24	35	106
25	36	105
26	38	103
27	39	102
28	41	100
29	42	99
30	44	98
31	45	96
32	46	95
33	48	93
34	49	92
35	51	91
36	52	90
37	54	88
38	55	87
39	57	85
40	58	84
41	59	82
42	61	81
43	62	79
44	64	78
45	65	76
46	66	75
47	68	73
48	69	72
49	71	71
50	72	70
51	74	68
52	76	67
53	77	66
54	78	64
55	80	63
56	81	61
57	83	60
58	84	59
59	86	57
60	87	56
61	89	54
62	90	53
63	91	51
64	93	50
65	94	48
66	96	47
67	97	45
68	99	44
69	100	43
70	101	41
71	103	40
72	104	38
73	106	37
74	107	35
75	109	34
76	110	33
77	111	31
78	112	29
79	113	28
80	115	27
81	116	25
82	118	24
83	119	22
84	120	21
85	122	19
86	123	18
87	125	17
88	126	15
89	127	14
90	129	12
91	131	11
92	132	9
93	133	8
94	135	7
95	137	5
96	138	4
97	140	2
98	141	1
99	143	0
